budget,tv,digital,influencer,search,revenue
400,91.9099524259283,149.52913616347885,50.749320013928326,107.81159139666454,7226.543354136572
450,103.40877084090317,168.15436651340025,57.1564474468996,121.28041519879699,7415.020985030409
500,114.90747633889848,186.78878025181234,63.55959206143323,134.744151347856,7583.786634715505
530,121.80442037385689,197.9626866980653,67.40383751884312,142.82905540923474,7677.182924167304
600,137.90185902223527,224.04104492147155,76.37115445187231,161.68594160442086,7876.153643997257
700,160.90023600681778,261.3059672817921,89.18192513673176,188.61187157465832,8123.625212626541
